CMDLINE /usr/local/opt/python/bin/python3.7 __main__.py
MEM 342.386719 1567887079.1324
MEM 342.484375 1567887079.2333
MEM 342.574219 1567887079.3385
MEM 342.687500 1567887079.4437
MEM 342.800781 1567887079.5450
MEM 342.902344 1567887079.6458
MEM 343.011719 1567887079.7481
MEM 343.089844 1567887079.8491
MEM 343.156250 1567887079.9494
MEM 343.218750 1567887080.0501
MEM 343.375000 1567887080.1529
MEM 343.507812 1567887080.2581
MEM 343.609375 1567887080.3634
MEM 343.734375 1567887080.4645
MEM 343.820312 1567887080.5647
MEM 343.945312 1567887080.6667
MEM 344.066406 1567887080.7673
MEM 344.160156 1567887080.8725
MEM 344.292969 1567887080.9777
MEM 344.371094 1567887081.0816
MEM 344.496094 1567887081.1833
MEM 344.605469 1567887081.2835
MEM 344.804688 1567887081.3888
MEM 344.890625 1567887081.4908
MEM 345.019531 1567887081.5956
MEM 345.136719 1567887081.6991
MEM 345.242188 1567887081.8015
MEM 345.367188 1567887081.9066
MEM 345.472656 1567887082.0109
MEM 345.621094 1567887082.1152
MEM 345.757812 1567887082.2165
MEM 345.847656 1567887082.3169
MEM 345.980469 1567887082.4172
MEM 346.093750 1567887082.5224
MEM 346.152344 1567887082.6277
MEM 346.265625 1567887082.7282
MEM 346.382812 1567887082.8311
MEM 346.449219 1567887082.9324
MEM 346.578125 1567887083.0330
MEM 346.691406 1567887083.1382
MEM 346.820312 1567887083.2412
MEM 346.914062 1567887083.3456
MEM 347.007812 1567887083.4478
MEM 347.148438 1567887083.5493
MEM 347.269531 1567887083.6497
MEM 347.382812 1567887083.7501
MEM 347.484375 1567887083.8554
MEM 347.582031 1567887083.9559
MEM 347.707031 1567887084.0611
MEM 347.800781 1567887084.1658
MEM 347.886719 1567887084.2667
MEM 348.007812 1567887084.3719
MEM 348.101562 1567887084.4772
MEM 348.207031 1567887084.5788
MEM 348.328125 1567887084.6824
MEM 348.414062 1567887084.7870
MEM 348.550781 1567887084.8899
MEM 348.644531 1567887084.9933
MEM 348.738281 1567887085.0975
MEM 348.847656 1567887085.1983
MEM 348.941406 1567887085.2989
MEM 349.058594 1567887085.3999
MEM 349.152344 1567887085.5004
MEM 349.292969 1567887085.6056
MEM 349.375000 1567887085.7108
MEM 349.468750 1567887085.8144
MEM 349.546875 1567887085.9157
MEM 349.636719 1567887086.0165
MEM 349.726562 1567887086.1187
MEM 349.824219 1567887086.2228
MEM 349.917969 1567887086.3275
MEM 350.023438 1567887086.4311
MEM 350.121094 1567887086.5341
MEM 350.210938 1567887086.6393
MEM 350.277344 1567887086.7436
MEM 350.398438 1567887086.8477
MEM 350.507812 1567887086.9492
MEM 350.675781 1567887087.0498
MEM 350.800781 1567887087.1503
MEM 350.902344 1567887087.2555
MEM 351.000000 1567887087.3566
MEM 351.121094 1567887087.4618
MEM 351.210938 1567887087.5643
MEM 351.277344 1567887087.6645
MEM 351.386719 1567887087.7661
MEM 351.500000 1567887087.8713
MEM 351.621094 1567887087.9745
MEM 351.703125 1567887088.0765
MEM 345.988281 1567887088.1811
MEM 346.078125 1567887088.2853
MEM 346.179688 1567887088.3905
MEM 346.601562 1567887088.4941
MEM 346.730469 1567887088.5977
MEM 355.230469 1567887088.6997
MEM 358.710938 1567887088.8000
MEM 357.074219 1567887088.9053
MEM 355.742188 1567887089.0068
MEM 358.777344 1567887089.1121
MEM 359.277344 1567887089.2145
MEM 254.515625 1567887089.3168
MEM 254.656250 1567887089.4194
MEM 254.710938 1567887089.5246
MEM 254.800781 1567887089.6299
MEM 254.894531 1567887089.7310
MEM 254.988281 1567887089.8326
MEM 255.082031 1567887089.9378
MEM 255.175781 1567887090.0381
MEM 255.281250 1567887090.1435
MEM 255.363281 1567887090.2476
MEM 255.453125 1567887090.3478
MEM 255.554688 1567887090.4497
MEM 255.640625 1567887090.5501
MEM 255.734375 1567887090.6505
MEM 255.824219 1567887090.7557
MEM 255.894531 1567887090.8574
MEM 256.003906 1567887090.9627
MEM 256.082031 1567887091.0643
MEM 256.183594 1567887091.1655
MEM 256.273438 1567887091.2670
MEM 256.359375 1567887091.3722
MEM 256.460938 1567887091.4733
MEM 256.546875 1567887091.5785
MEM 256.625000 1567887091.6799
MEM 256.691406 1567887091.7812
MEM 256.785156 1567887091.8854
MEM 256.867188 1567887091.9882
MEM 256.941406 1567887092.0917
MEM 257.035156 1567887092.1970
MEM 257.109375 1567887092.3019
MEM 257.167969 1567887092.4027
MEM 257.257812 1567887092.5080
MEM 257.332031 1567887092.6091
MEM 257.410156 1567887092.7143
MEM 257.488281 1567887092.8162
MEM 257.558594 1567887092.9214
MEM 257.656250 1567887093.0266
MEM 257.726562 1567887093.1297
MEM 257.812500 1567887093.2310
MEM 257.894531 1567887093.3324
MEM 257.964844 1567887093.4330
MEM 258.042969 1567887093.5343
MEM 258.101562 1567887093.6348
MEM 258.144531 1567887093.7392
MEM 258.179688 1567887093.8410
MEM 258.230469 1567887093.9440
MEM 258.300781 1567887094.0475
MEM 258.378906 1567887094.1509
MEM 258.457031 1567887094.2551
MEM 258.531250 1567887094.3567
MEM 258.582031 1567887094.4619
MEM 258.636719 1567887094.5647
MEM 258.687500 1567887094.6659
MEM 258.765625 1567887094.7663
MEM 258.855469 1567887094.8716
MEM 258.945312 1567887094.9768
MEM 259.027344 1567887095.0813
MEM 259.101562 1567887095.1822
MEM 259.179688 1567887095.2825
MEM 259.277344 1567887095.3868
MEM 259.339844 1567887095.4913
MEM 259.429688 1567887095.5953
MEM 259.519531 1567887095.6976
