accuracy,alpha,beta,period
0.46835443037974683,0.5,0.3,4.0
0.46835443037974683,0.5,0.5,4.0
0.5063291139240507,0.5,0.6,4.0
0.5063291139240507,0.5,0.7,4.0
0.4810126582278481,0.5,0.8,4.0
0.4936708860759494,0.5,0.9,4.0
0.46835443037974683,0.6,0.1,4.0
0.4810126582278481,0.6,0.2,4.0
0.46835443037974683,0.6,0.3,4.0
0.46835443037974683,0.6,0.5,4.0
0.4936708860759494,0.6,0.6,4.0
0.4936708860759494,0.6,0.7,4.0
0.4810126582278481,0.6,0.8,4.0
0.4810126582278481,0.6,0.9,4.0
0.45569620253164556,0.7,0.1,4.0
0.45569620253164556,0.7,0.2,4.0
0.45569620253164556,0.7,0.3,4.0
0.46835443037974683,0.7,0.5,4.0
0.46835443037974683,0.7,0.6,4.0
0.46835443037974683,0.7,0.7,4.0
0.45569620253164556,0.7,0.8,4.0
0.4810126582278481,0.7,0.9,4.0
0.43037974683544306,0.8,0.1,4.0
0.45569620253164556,0.8,0.2,4.0
0.45569620253164556,0.8,0.3,4.0
0.46835443037974683,0.8,0.5,4.0
0.46835443037974683,0.8,0.6,4.0
0.4810126582278481,0.8,0.7,4.0
0.4936708860759494,0.8,0.8,4.0
0.5189873417721519,0.8,0.9,4.0
0.4430379746835443,0.9,0.1,4.0
0.45569620253164556,0.9,0.2,4.0
0.46835443037974683,0.9,0.3,4.0
0.46835443037974683,0.9,0.5,4.0
0.5189873417721519,0.9,0.6,4.0
0.5063291139240507,0.9,0.7,4.0
0.5443037974683544,0.9,0.8,4.0
0.5443037974683544,0.9,0.9,4.0
0.42574257425742573,0.1,0.1,5.0
0.43564356435643564,0.1,0.2,5.0
0.46534653465346537,0.1,0.3,5.0
0.5148514851485149,0.1,0.5,5.0
0.5346534653465347,0.1,0.6,5.0
0.5445544554455446,0.1,0.7,5.0
0.5544554455445545,0.1,0.8,5.0
0.5841584158415841,0.1,0.9,5.0
0.504950495049505,0.2,0.1,5.0
0.49504950495049505,0.2,0.2,5.0
0.504950495049505,0.2,0.3,5.0
0.5445544554455446,0.2,0.5,5.0
0.49504950495049505,0.2,0.6,5.0
0.46534653465346537,0.2,0.7,5.0
0.4752475247524752,0.2,0.8,5.0
0.48514851485148514,0.2,0.9,5.0
0.5247524752475248,0.3,0.1,5.0
0.5247524752475248,0.3,0.2,5.0
0.49504950495049505,0.3,0.3,5.0
0.46534653465346537,0.3,0.5,5.0
0.48514851485148514,0.3,0.6,5.0
0.49504950495049505,0.3,0.7,5.0
0.49504950495049505,0.3,0.8,5.0
0.49504950495049505,0.3,0.9,5.0
0.504950495049505,0.5,0.1,5.0
0.5148514851485149,0.5,0.2,5.0
0.49504950495049505,0.5,0.3,5.0
0.4752475247524752,0.5,0.5,5.0
0.504950495049505,0.5,0.6,5.0
0.504950495049505,0.5,0.7,5.0
0.49504950495049505,0.5,0.8,5.0
0.5148514851485149,0.5,0.9,5.0
0.504950495049505,0.6,0.1,5.0
0.504950495049505,0.6,0.2,5.0
0.48514851485148514,0.6,0.3,5.0
0.48514851485148514,0.6,0.5,5.0
0.504950495049505,0.6,0.6,5.0
0.504950495049505,0.6,0.7,5.0
0.5247524752475248,0.6,0.8,5.0
0.5148514851485149,0.6,0.9,5.0
0.48514851485148514,0.7,0.1,5.0
0.4752475247524752,0.7,0.2,5.0
0.48514851485148514,0.7,0.3,5.0
0.504950495049505,0.7,0.5,5.0
0.504950495049505,0.7,0.6,5.0
0.5148514851485149,0.7,0.7,5.0
0.504950495049505,0.7,0.8,5.0
0.5148514851485149,0.7,0.9,5.0
0.4752475247524752,0.8,0.1,5.0
0.48514851485148514,0.8,0.2,5.0
0.48514851485148514,0.8,0.3,5.0
0.504950495049505,0.8,0.5,5.0
0.504950495049505,0.8,0.6,5.0
0.5247524752475248,0.8,0.7,5.0
0.5346534653465347,0.8,0.8,5.0
0.5544554455445545,0.8,0.9,5.0
0.48514851485148514,0.9,0.1,5.0
0.49504950495049505,0.9,0.2,5.0
0.504950495049505,0.9,0.3,5.0
0.5148514851485149,0.9,0.5,5.0
0.5544554455445545,0.9,0.6,5.0
0.5544554455445545,0.9,0.7,5.0
0.5643564356435643,0.9,0.8,5.0
0.5643564356435643,0.9,0.9,5.0
0.45528455284552843,0.1,0.1,6.0
0.4715447154471545,0.1,0.2,6.0
0.4959349593495935,0.1,0.3,6.0
0.5203252032520326,0.1,0.5,6.0
0.5447154471544715,0.1,0.6,6.0
0.5528455284552846,0.1,0.7,6.0
0.5691056910569106,0.1,0.8,6.0
0.5853658536585366,0.1,0.9,6.0
0.5284552845528455,0.2,0.1,6.0
0.5203252032520326,0.2,0.2,6.0
0.5284552845528455,0.2,0.3,6.0
0.5609756097560976,0.2,0.5,6.0
0.5203252032520326,0.2,0.6,6.0
0.4959349593495935,0.2,0.7,6.0
0.5121951219512195,0.2,0.8,6.0
0.5284552845528455,0.2,0.9,6.0
0.5365853658536586,0.3,0.1,6.0
0.5365853658536586,0.3,0.2,6.0
0.5203252032520326,0.3,0.3,6.0
0.5040650406504065,0.3,0.5,6.0
0.5203252032520326,0.3,0.6,6.0
0.5365853658536586,0.3,0.7,6.0
0.5365853658536586,0.3,0.8,6.0
0.5365853658536586,0.3,0.9,6.0
0.5203252032520326,0.5,0.1,6.0
0.5365853658536586,0.5,0.2,6.0
0.5284552845528455,0.5,0.3,6.0
0.5121951219512195,0.5,0.5,6.0
0.5365853658536586,0.5,0.6,6.0
0.5365853658536586,0.5,0.7,6.0
0.5365853658536586,0.5,0.8,6.0
0.5365853658536586,0.5,0.9,6.0
0.5203252032520326,0.6,0.1,6.0
0.5284552845528455,0.6,0.2,6.0
0.5121951219512195,0.6,0.3,6.0
0.5121951219512195,0.6,0.5,6.0
0.5284552845528455,0.6,0.6,6.0
0.5203252032520326,0.6,0.7,6.0
0.5447154471544715,0.6,0.8,6.0
0.5203252032520326,0.6,0.9,6.0
0.5121951219512195,0.7,0.1,6.0
0.4959349593495935,0.7,0.2,6.0
0.5040650406504065,0.7,0.3,6.0
0.5203252032520326,0.7,0.5,6.0
0.5203252032520326,0.7,0.6,6.0
0.5284552845528455,0.7,0.7,6.0
0.5040650406504065,0.7,0.8,6.0
0.5121951219512195,0.7,0.9,6.0
0.4959349593495935,0.8,0.1,6.0
0.5040650406504065,0.8,0.2,6.0
0.5121951219512195,0.8,0.3,6.0
0.5203252032520326,0.8,0.5,6.0
0.5203252032520326,0.8,0.6,6.0
0.5365853658536586,0.8,0.7,6.0
0.5203252032520326,0.8,0.8,6.0
0.5365853658536586,0.8,0.9,6.0
0.5040650406504065,0.9,0.1,6.0
0.5121951219512195,0.9,0.2,6.0
0.5203252032520326,0.9,0.3,6.0
0.5203252032520326,0.9,0.5,6.0
0.5447154471544715,0.9,0.6,6.0
0.5447154471544715,0.9,0.7,6.0
0.5528455284552846,0.9,0.8,6.0
0.5528455284552846,0.9,0.9,6.0
