index,batch_size,cells,look_back,loss,optimizers,status
168,[5],[1],[3],-0.0,[0],ok
169,[1],[3],[4],-0.23703701794147491,[2],ok
170,[3],[0],[0],-0.1874999850988388,[2],ok
171,[1],[1],[3],-0.8010658621788025,[2],ok
172,[1],[5],[3],-0.640740692615509,[2],ok
173,[0],[4],[3],-0.6618480086326599,[1],ok
174,[4],[1],[2],-0.4197249412536621,[2],ok
175,[1],[1],[1],-0.1458333283662796,[0],ok
176,[2],[2],[3],-0.6890645027160645,[2],ok
177,[1],[1],[3],-0.7686163783073425,[2],ok
178,[5],[3],[4],-0.18518517911434174,[2],ok
179,[1],[0],[0],-0.20202021300792694,[2],ok
180,[3],[1],[3],-0.6618480086326599,[1],ok
181,[1],[1],[3],-0.7602978348731995,[2],ok
182,[0],[4],[3],-0.7665107846260071,[0],ok
183,[1],[5],[2],-0.689976692199707,[2],ok
184,[4],[1],[1],-0.166666641831398,[2],ok
185,[1],[2],[3],-0.6666666269302368,[2],ok
186,[2],[1],[3],-0.6874327659606934,[2],ok
187,[1],[1],[4],-0.18518517911434174,[1],ok
188,[5],[3],[0],-0.1874999850988388,[2],ok
189,[1],[1],[3],-0.30576440691947937,[0],ok
190,[3],[0],[3],-0.18518517911434174,[2],ok
191,[1],[1],[3],-0.7602978348731995,[2],ok
192,[0],[5],[2],-0.5888491272926331,[2],ok
193,[1],[1],[1],-0.14141413569450378,[2],ok
194,[4],[4],[3],-0.6646258234977722,[1],ok
195,[1],[2],[3],-0.7592923045158386,[2],ok
196,[2],[1],[4],-0.0,[0],ok
197,[1],[1],[0],-0.21568626165390015,[2],ok
198,[5],[1],[3],-0.6874327659606934,[2],ok
199,[1],[3],[3],-0.6617642045021057,[2],ok
200,[3],[0],[3],-0.18518517911434174,[2],ok
201,[1],[1],[2],-0.5842636823654175,[1],ok
202,[1],[5],[3],-0.640740692615509,[2],ok
203,[0],[4],[1],-0.1458333283662796,[0],ok
204,[4],[1],[3],-0.6826141476631165,[2],ok
205,[1],[2],[4],-0.23703701794147491,[2],ok
206,[2],[1],[0],-0.1874999850988388,[2],ok
207,[1],[1],[3],-0.8237898945808411,[2],ok
208,[1],[1],[3],-0.7686163783073425,[2],ok
209,[5],[3],[3],-0.6646258234977722,[1],ok
210,[1],[0],[3],-0.19819818437099457,[2],ok
211,[3],[1],[2],-0.0,[0],ok
212,[1],[5],[1],-0.1458333283662796,[2],ok
213,[0],[1],[3],-0.7490515112876892,[2],ok
214,[4],[4],[4],-0.18518517911434174,[2],ok
215,[1],[2],[3],-0.8099567294120789,[2],ok
216,[2],[1],[0],-0.17204298079013824,[1],ok
217,[1],[1],[3],-0.8130607604980469,[2],ok
218,[5],[1],[3],-0.0,[0],ok
219,[1],[3],[2],-0.6654456257820129,[2],ok
220,[1],[0],[3],-0.18518517911434174,[2],ok
221,[3],[1],[1],-0.166666641831398,[2],ok
222,[1],[5],[3],-0.6618480086326599,[1],ok
223,[4],[1],[4],-0.18518517911434174,[2],ok
224,[0],[4],[3],-0.6259259581565857,[2],ok
225,[1],[2],[0],-0.21568626165390015,[0],ok
226,[2],[1],[3],-0.6874327659606934,[2],ok
227,[1],[1],[3],-0.8025491833686829,[2],ok
228,[5],[1],[3],-0.6874327659606934,[2],ok
229,[1],[3],[2],-0.6572354435920715,[2],ok
230,[1],[1],[1],-0.14141413569450378,[1],ok
231,[3],[0],[3],-0.0,[0],ok
232,[1],[5],[4],-0.24385960400104523,[2],ok
233,[0],[1],[3],-0.7404492497444153,[2],ok
234,[1],[4],[0],-0.20202021300792694,[2],ok
235,[4],[1],[3],-0.6697811484336853,[2],ok
236,[1],[2],[3],-0.7748916745185852,[2],ok
237,[2],[1],[3],-0.6646258234977722,[1],ok
238,[1],[1],[2],-0.6581196188926697,[2],ok
239,[5],[3],[1],-0.0,[0],ok
240,[3],[0],[3],-0.18518517911434174,[2],ok
241,[1],[1],[3],-0.7748916745185852,[2],ok
242,[1],[5],[4],-0.24385960400104523,[2],ok
243,[0],[1],[0],-0.20202021300792694,[2],ok
244,[1],[4],[3],-0.6838224530220032,[1],ok
245,[4],[1],[3],-0.6874327659606934,[2],ok
246,[2],[2],[3],-0.0,[0],ok
247,[1],[1],[2],-0.6406837105751038,[2],ok
248,[1],[1],[1],-0.14141413569450378,[2],ok
249,[5],[3],[3],-0.678272008895874,[2],ok
250,[1],[1],[3],-0.7748916745185852,[2],ok
251,[3],[0],[4],-0.2222222089767456,[1],ok
252,[1],[1],[3],-0.7686163783073425,[2],ok
253,[1],[5],[0],-0.21568626165390015,[0],ok
254,[0],[4],[3],-0.5931217074394226,[2],ok
255,[4],[1],[3],-0.6874327659606934,[2],ok
256,[1],[2],[2],-0.6217948198318481,[2],ok
257,[1],[1],[3],-0.8073411583900452,[2],ok
258,[1],[1],[3],-0.7748916745185852,[2],ok
259,[1],[1],[3],-0.8193361759185791,[2],ok
260,[1],[1],[3],-0.8195503354072571,[2],ok
261,[1],[1],[3],-0.7893815040588379,[2],ok
262,[1],[1],[3],-0.7602978348731995,[2],ok
263,[1],[1],[3],-0.7602978348731995,[2],ok
264,[1],[1],[3],-0.7566213607788086,[2],ok
265,[1],[1],[3],-0.7686163783073425,[2],ok
266,[1],[1],[3],-0.8130607604980469,[2],ok
267,[1],[1],[3],-0.8064478039741516,[2],ok
268,[1],[1],[3],-0.7602978348731995,[2],ok
269,[1],[1],[3],-0.7501279711723328,[2],ok
