index,batch_size,cells,look_back,loss,optimizers,status
210,[2],[4],[3],-0.2949735224246979,[1],ok
211,[1],[1],[1],-0.5029173493385315,[0],ok
212,[5],[0],[4],-0.37307897210121155,[0],ok
213,[1],[5],[2],-0.6169369220733643,[0],ok
214,[4],[5],[2],-0.083333320915699,[0],ok
215,[1],[1],[0],-0.18207280337810516,[2],ok
216,[3],[2],[2],-0.083333320915699,[0],ok
217,[1],[5],[2],-0.39523807168006897,[1],ok
218,[0],[2],[2],-0.5980480313301086,[0],ok
219,[1],[4],[3],-0.2202380895614624,[0],ok
220,[2],[1],[4],-0.24425286054611206,[0],ok
221,[1],[4],[1],-0.5029173493385315,[0],ok
222,[5],[1],[2],-0.48181816935539246,[2],ok
223,[1],[2],[2],-0.614814817905426,[0],ok
224,[4],[0],[2],-0.6322751045227051,[1],ok
225,[4],[0],[2],-0.6354978084564209,[1],ok
226,[4],[0],[0],-0.43139076232910156,[1],ok
227,[4],[0],[2],-0.6510971784591675,[1],ok
228,[4],[0],[2],-0.6225964426994324,[1],ok
229,[4],[0],[3],-0.206349179148674,[1],ok
230,[4],[0],[2],-0.4960317313671112,[1],ok
231,[4],[0],[4],-0.4156745672225952,[1],ok
232,[4],[0],[2],-0.32315829396247864,[1],ok
233,[4],[0],[1],-0.4834054410457611,[1],ok
234,[4],[0],[2],-0.6510971784591675,[1],ok
235,[4],[0],[0],-0.587142288684845,[1],ok
236,[4],[0],[2],-0.6510971784591675,[1],ok
237,[4],[0],[2],-0.6225964426994324,[1],ok
238,[4],[0],[2],-0.6434343457221985,[1],ok
239,[4],[0],[3],-0.206349179148674,[1],ok
240,[4],[0],[4],-0.4112553894519806,[1],ok
241,[4],[0],[1],-0.37179484963417053,[1],ok
242,[4],[0],[2],-0.6434343457221985,[1],ok
243,[4],[0],[2],-0.4807060658931732,[1],ok
244,[4],[0],[0],-0.46280190348625183,[1],ok
245,[4],[0],[2],-0.6354978084564209,[1],ok
246,[4],[0],[2],-0.6322751045227051,[1],ok
247,[4],[0],[2],-0.650312602519989,[1],ok
248,[4],[0],[3],-0.1846153736114502,[1],ok
249,[4],[0],[4],-0.4244897663593292,[1],ok
250,[4],[0],[2],-0.6510971784591675,[1],ok
251,[4],[0],[2],-0.4960317313671112,[1],ok
252,[4],[0],[1],-0.4834054410457611,[1],ok
253,[4],[0],[0],-0.5950474143028259,[1],ok
254,[4],[0],[2],-0.650312602519989,[1],ok
255,[4],[0],[2],-0.6510971784591675,[1],ok
256,[4],[0],[2],-0.6354978084564209,[1],ok
257,[4],[0],[2],-0.593701958656311,[1],ok
258,[4],[0],[2],-0.4960317313671112,[1],ok
259,[4],[0],[2],-0.4960317313671112,[1],ok
260,[4],[0],[2],-0.6225964426994324,[1],ok
261,[4],[0],[2],-0.6225964426994324,[1],ok
262,[4],[0],[2],-0.4807060658931732,[1],ok
263,[4],[0],[2],-0.4960317313671112,[1],ok
264,[4],[0],[2],-0.650312602519989,[1],ok
265,[4],[0],[2],-0.6354978084564209,[1],ok
266,[4],[0],[2],-0.4960317313671112,[1],ok
267,[4],[0],[2],-0.6354978084564209,[1],ok
268,[4],[0],[2],-0.4960317313671112,[1],ok
269,[4],[0],[2],-0.4960317313671112,[1],ok
270,[4],[0],[2],-0.6058415770530701,[1],ok
271,[4],[0],[2],-0.4960317313671112,[1],ok
272,[4],[0],[2],-0.6354978084564209,[1],ok
273,[4],[0],[3],-0.24444441497325897,[1],ok
274,[4],[0],[2],-0.6354978084564209,[1],ok
275,[4],[0],[4],-0.42037883400917053,[1],ok
276,[4],[0],[1],-0.520703911781311,[1],ok
277,[4],[0],[2],-0.6322751045227051,[1],ok
278,[4],[0],[2],-0.6035353541374207,[1],ok
279,[4],[3],[0],-0.38368645310401917,[1],ok
280,[4],[0],[2],-0.4960317313671112,[1],ok
281,[4],[0],[2],-0.650312602519989,[1],ok
282,[4],[0],[2],-0.650312602519989,[1],ok
283,[3],[0],[3],-0.206349179148674,[1],ok
284,[4],[0],[4],-0.4315475523471832,[1],ok
285,[0],[3],[2],-0.44148144125938416,[1],ok
286,[4],[0],[1],-0.520703911781311,[1],ok
287,[2],[0],[2],-0.6434343457221985,[1],ok
288,[4],[0],[2],-0.650312602519989,[1],ok
289,[5],[0],[0],-0.5741487741470337,[1],ok
290,[4],[0],[2],-0.6225964426994324,[1],ok
291,[4],[3],[2],-0.4135802090167999,[1],ok
292,[3],[0],[2],-0.6120447516441345,[1],ok
293,[4],[0],[3],-0.206349179148674,[1],ok
294,[4],[0],[4],-0.3988734781742096,[1],ok
295,[0],[0],[2],-0.5678306818008423,[1],ok
296,[2],[0],[2],-0.6434343457221985,[1],ok
297,[4],[0],[1],-0.47550031542778015,[1],ok
298,[4],[3],[2],-0.40256407856941223,[1],ok
299,[5],[0],[0],-0.43139076232910156,[1],ok
300,[4],[0],[2],-0.6354978084564209,[1],ok
301,[4],[0],[2],-0.6510971784591675,[1],ok
302,[3],[0],[2],-0.6225964426994324,[1],ok
303,[4],[0],[3],-0.206349179148674,[1],ok
304,[0],[0],[2],-0.49403509497642517,[2],ok
305,[4],[3],[4],-0.40545499324798584,[1],ok
306,[2],[0],[1],-0.45324668288230896,[1],ok
307,[4],[0],[2],-0.593701958656311,[1],ok
308,[4],[0],[2],-0.650312602519989,[1],ok
309,[5],[0],[0],-0.60072922706604,[1],ok
310,[4],[0],[2],-0.6134389042854309,[1],ok
311,[4],[0],[2],-0.511904776096344,[2],ok
312,[3],[0],[2],-0.6510971784591675,[1],ok
313,[3],[3],[3],-0.287176251411438,[1],ok
314,[3],[0],[2],-0.6434343457221985,[1],ok
315,[3],[0],[4],-0.4251081943511963,[1],ok
